compound,temperature,conductivity,log10_target,log10_predict,Ionic_Conductivity,residue,,,
Li6.25 La3.0Zr2.0Al0.25O12,300,2.20E-04,-3.657577319,-3.59510852,0.000240671,0.001521063,,,
Li6.25 La3.0Zr2.0Al0.25O12,300,2.60E-04,-3.585026652,-3.282673514,0.000240671,0.001125593,,,
Li6.25 La3.0Zr2.0Al0.25O12,300,2.80E-04,-3.552841969,-3.634143822,0.000240671,0.004321031,,,
Li6.25 La3.0Zr2.0Ga0.25O12,300,1.46E-03,-2.835647144,-3.110366775,0.000265978,0.546870549,,,
Li6.25 La3.0Zr2.0Ga0.25O12,300,1.10E-03,-2.958607315,-3.208589878,0.000265978,0.380129947,,,
Li6.25 La3.0Zr2.0Ga0.25O12,300,3.50E-04,-3.455931956,-3.908026311,0.000265978,0.014213921,,,
Li6.28 La3.0Zr2.0Al0.24O12,300,3.54E-04,-3.450996738,-3.260171203,0.000222602,0.040591771,,,
Li6.28 La3.0Zr2.0Al0.24O12,300,1.06E-04,-3.974694135,-4.199466717,0.000222602,0.10382792,,,
Li6.4 La3.0Zr2.0Al0.2O12,300,2.50E-04,-3.602059991,-3.634792241,0.000180189,0.020224482,,,
Li6.4 La3.0Zr2.0Al0.2O12,300,1.15E-04,-3.93930216,-3.905324549,0.000180189,0.038036452,,,
Li6.4 La3.0Zr2.0Al0.2O12,300,9.60E-05,-4.017728767,-4.077245589,0.000180189,0.074778168,,,
Li6.4 La3.0Zr2.0Fe0.2O12,300,4.28E-04,-3.368556231,-3.847275837,0.000259862,0.046959346,,,
Li6.4 La3.0Zr2.0Fe0.2O12,300,1.10E-03,-2.958607315,-2.720710771,0.000259862,0.392690182,,,
Li6.4 La3.0Zr2.0Ga0.2O12,300,9.00E-04,-3.045757491,-3.183407072,0.000271936,0.270166532,,,
Li6.23 La3.0Zr2.0Ga0.2O12,300,7.20E-04,-3.142667504,-3.462096463,0.000237009,0.232871366,,,
Li6.91 La3.0Zr2.0Ga0.2O12,300,4.30E-04,-3.366531544,-3.11472735,0.000199585,0.111116098,,,
Li6.79 La3.0Zr2.0Ga0.2O12,300,8.00E-04,-3.096910013,-3.176271243,0.000204741,0.350328264,,,
Li6.55 La3.0Zr2.0Ga0.2O12,300,1.09E-03,-2.962573502,-3.571105038,0.00023933,0.433529082,,,
Li6.28 La3.0Zr2.0Ga0.2O12,300,7.40E-04,-3.13076828,-2.530429199,0.000281814,0.175786207,,,
Li6.3 La3.0Zr2.0Ga0.2O12,300,8.70E-04,-3.060480747,-2.692207804,0.000281814,0.239665264,,,
Li6.4 La3.0Zr2.0Ga0.2O12,300,1.50E-03,-2.823908741,-3.420805535,0.000271936,0.550006474,,,
Li6.4 La3.0Zr2.0Ga0.2O12,300,1.24E-03,-2.906578315,-2.948757778,0.000271936,0.434221217,,,
Li6.4 La3.0Zr2.0Ga0.2O12,300,4.58E-04,-3.339134522,-3.592529986,0.000271936,0.05125625,,,
Li7.05 La3.0Zr1.98Al0.16O12,300,2.21E-04,-3.655607726,-3.826031771,0.000153136,0.02538139,,,
Li6.55 La3.0Zr2.0Ga0.15O12,300,1.30E-03,-2.886056648,-2.913598169,0.000232134,0.559809152,,,
Li6.55 La3.0Zr2.0Ga0.15O12,300,1.13E-03,-2.946921557,-2.653454643,0.000232134,0.472434958,,,
Li6.55 La3.0Zr2.0Ga0.15O12,300,4.58E-04,-3.339134522,-3.332357087,0.000232134,0.087099401,,,
Li6.55 La3.0Zr2.0Ga0.15O12,300,8.50E-05,-4.070581074,-4.243377818,0.000232134,0.190375557,,,
Li6.55 La3.0Zr2.0Ga0.15O12,300,2.06E-03,-2.68613278,-2.639853671,0.000232134,0.898946361,,,
Li6.55 La3.0Zr2.0Ga0.15O12,300,4.70E-04,-3.327902142,-3.646937646,0.000232134,0.093855504,,,
Li6.55 La3.0Zr2.0Ga0.15O12,300,1.20E-03,-2.920818754,-2.961362057,0.000232134,0.508999266,,,
Li6.4 La3.0Zr2.0Ge0.15O12,300,8.05E-05,-4.09420412,-4.303094762,0.000228708,0.205649765,,,
Li7.42 La3.0Zr1.97Al0.14O12,300,1.89E-04,-3.723538196,-3.808630432,0.000156229,0.00683923,,,
Li6.61 La3.0Zr2.0Al0.13O12,300,1.35E-04,-3.869666232,-3.719936398,0.000170112,0.010080314,,,
Li6.91 La3.0Zr1.98Al0.13O12,300,2.08E-04,-3.681936665,-3.64418456,0.000184262,0.002769546,,,
Li6.7 La3.0Zr2.0Al0.1O12,300,1.41E-04,-3.850780887,-3.976658429,0.000201393,0.023970839,,,
Li6.7 La3.0Zr2.0Ga0.1O12,300,2.50E-05,-4.602059991,-3.95779545,0.000211267,0.859130019,,,
Li6.7 La3.0Zr2.0Ga0.1O12,300,6.00E-05,-4.22184875,-4.407844366,0.000211267,0.298860583,,,
Li6.6 La3.0Zr2.0Ge0.1O12,300,2.80E-04,-3.552841969,-3.582228202,0.000179638,0.037156231,,,
Li6.85 La3.0Zr2.0Al0.05O12,300,9.90E-05,-4.004364805,-3.961666964,0.000194513,0.086032948,,,
Li6.8 La3.0Zr2.0Ge0.05O12,300,2.91E-05,-4.536107011,-4.138354933,0.000170435,0.589309495,,,
Li7.0 La3.0Zr2.0O12,300,2.40E-04,-3.619788758,-3.865999358,3.09E-06,3.572697769,,,
Li7.0 La3.0Zr2.0O12,300,7.74E-04,-3.111259039,-3.175356295,3.09E-06,5.753703413,,,
Li7.0 La3.0Zr2.0O12,300,1.87E-04,-3.728158393,-4.143539828,3.09E-06,3.174770252,,,
Li7.0 La3.0Zr2.0O12,300,2.60E-05,-4.585026652,-4.746669185,3.09E-06,0.855477449,,,
Li7.0 La3.0Zr2.0O12,300,1.00E-04,-4,-4.099344751,3.09E-06,2.279939614,,,
Li6.85 La3.09Zr2.07O12,300,1.68E-04,-3.774690718,-3.748197588,3.26E-06,2.930114038,,,
Li7.0 La3.0Zr2.0O12,300,7.83E-06,-5.106238238,-4.625967232,3.09E-06,0.162980677,,,
