Temp_K,Ea_eV,electrolyte,doi,Ionic_Conductivity,Material_Type,avg_electronegativity,avg_atomic_mass,avg_ionic_radius,num_elements,li_fraction,composition_entropy,electronegativity_variance,group_diversity,packing_efficiency_proxy,li_to_anion_ratio,heaviest_element_mass,lightest_element_mass,is_mixture,formula_complexity,total_atoms
312.8940887,0.362246883,Li3.98P0.98Zn0.02S3.98O0.02,10.1016/j.ensm.2018.07.008,0.001405739,Thio-LISICON,1.828151448,20.85055679,1.205122494,5,0.443207127,0.990242231,0.701677686,4,0.239130435,0.995,65.38,6.94,0,44.9,8.98
312.8950926,0.301286848,Li6.4P0.6Si0.4S5Cl0.5Br0.5,10.1016/j.jpowsour.2021.230849,0.006109841,Argyrodite,1.813880597,21.81037313,1.221865672,6,0.47761194,1.21008024,0.688783984,5,0.204081633,1.066666667,79.9,6.94,0,80.4,13.4
312.8959387,0.64238578,Li7P2.9Sb0.1S10.65O0.15I0.2,10.1007/s40843-022-2182-0,8.95E-07,Sulfide,1.997190476,24.75688095,1.281809524,6,0.333333333,1.089020964,0.560130556,4,0.2,0.636363636,126.9,6.94,0,126,21
312.9018354,0.362160277,Li6.1P0.9Zr0.1S4.8O0.2Cl,10.1039/D3TA07453F,0.00229345,Argyrodite,1.856030534,20.75687023,1.223358779,6,0.465648855,1.205211669,0.78675625,5,0.239130435,1.016666667,91.22,6.94,0,78.6,13.1
312.9036046,0.285062052,Li6.9Zn0.05P2S7.95O0.05I,10.1016/j.jiec.2023.01.045,0.005664277,Halide,1.925766017,27.61846797,1.284623955,6,0.384401114,1.16636807,0.63355275,5,0.2,0.766666667,126.9,6.94,0,107.7,17.95
312.9039757,0.67218203,LiBH4+55wt% gamma Al2O3,10.1021/acsaem.4c02653,4.17E-05,Hydride,2.692241993,20.03409964,1.042384342,5,0.003558719,0.780422211,0.802213835,3,0.192857143,0.006060606,26.98,1.008,1,1405,281
312.90398,0.35743753,Li5.7PS4.7Cl1.3,10.1016/j.nanoen.2019.104396,0.005332931,Argyrodite,1.890551181,21.05055118,1.241968504,4,0.448818898,1.160871715,0.758263776,4,0.239130435,0.95,35.45,6.94,0,50.8,12.7
312.9060199,0.212082317,Li1.3Al0.3Ti1.7(PO4)3,10.1002/celc.201901687,0.000363286,NASICON,2.853825137,20.9510929,1.109672131,5,0.071038251,1.049159727,0.856755,5,0.314285714,0.108333333,47.87,6.94,0,91.5,18.3
312.9065463,0.286948277,Na5.5P0.92Sb0.08S4.3O0.2Cl1.5,10.1016/j.jpowsour.2023.232659,0.007006816,Argyrodite,1.905264,28.716336,1.358608,6,0,1.273272659,0.833775,4,0.239130435,0,121.76,16,0,75,12.5
312.906884,0.392975526,Li10B10S20,10.1021/acsenergylett.4c00057,0.000206674,Thioborates,2.045,20.4725,1.1775,3,0.25,1.039720771,0.426675,3,0.14673913,0.5,32.07,6.94,0,120,40
312.906884,0.374836068,Li10B10S20-LiI ,10.1021/acsenergylett.4c00057,0.001008036,Thioborates,2.034285714,22.68428571,1.191904762,4,0.261904762,1.134875704,0.442253061,4,0.122727273,0.523809524,126.9,6.94,1,168,42
312.9090221,0.291866293,Li5.7PS4.7Br1.3,10.1016/j.ensm.2020.04.014,0.002004514,Argyrodite,1.87007874,25.60055118,1.257322835,4,0.448818898,1.160871715,0.693978061,4,0.224489796,0.95,79.9,6.94,0,50.8,12.7
312.9123811,0.299027168,Li1.3Al0.3Ti1.7(PO4)3 ,10.1039/d4ta00068d,0.001257695,NASICON,2.853825137,20.9510929,1.109672131,5,0.071038251,1.049159727,0.856755,5,0.314285714,0.108333333,47.87,6.94,0,91.5,18.3
312.9133904,0.373490418,Li3.18P0.94Zn0.06S3.94O0.06,10.1016/j.ensm.2018.07.008,5.50E-05,Oxide,1.912665037,22.3006846,1.24797066,5,0.388753056,1.039887494,0.701677686,4,0.239130435,0.795,65.38,6.94,0,40.9,8.18
312.9139073,0.311982997,Li5.625PS4.625Cl1.375,10.1002/anie.201814222,0.00924402,Argyrodite,1.899405941,21.15445545,1.244653465,4,0.445544554,1.170406109,0.758263776,4,0.239130435,0.9375,35.45,6.94,0,50.5,12.625
312.9185285,0.634467542,Li2NH,10.1016/0375-9601(79)90846-6,0.000708966,Hydride,1.8,7.2245,0.505,3,0.5,1.039720771,0.7606,2,0.171052632,0,14.01,1.008,0,12,4
312.9233825,0.680871841,Li6.5La3Zr1.5Ta0.5O12,10.20517/energymater.2024.201,1.03E-05,Garnet,2.284893617,37.49553191,1.116170213,5,0.276595745,1.218998086,1.379576,5,0.457142857,0.541666667,180.95,6.94,0,117.5,23.5
312.9237822,0.32697553,Li5.5PS4.25O0.25Cl1.5,10.1021/acsami.1c21561,0.008593336,Argyrodite,1.9316,21.009,1.2404,5,0.44,1.262757104,0.845984889,4,0.239130435,0.916666667,35.45,6.94,0,62.5,12.5
312.9238218,0.279405459,Li10GeP2S12,10.1016/j.ceramint.2024.11.447,0.00105717,Thio-LISICON,1.886,23.5524,1.2436,4,0.4,1.049634821,0.567528,4,0.239130435,0.833333333,72.63,6.94,0,100,25
312.9262009,0.355111926,0.8Li2O-HfCl4,10.1038/s41467-023-39197-8,0.000496683,Halide-Oxide,2.4175,43.77125,1.3575,4,0.25,1.213007566,1.07904375,4,0.386740331,0.4,178.49,6.94,0,32,8
312.9262009,0.325703224,1.2Li2O-HfCl4,10.1038/s41467-023-39197-8,0.001875576,Halide-Oxide,2.4175,43.77125,1.3575,4,0.25,1.213007566,1.07904375,4,0.386740331,0.4,178.49,6.94,0,32,8
312.9262009,0.325716613,1.4Li2O-HfCl4,10.1038/s41467-023-39197-8,0.002669409,Halide-Oxide,2.4175,43.77125,1.3575,4,0.25,1.213007566,1.07904375,4,0.386740331,0.4,178.49,6.94,0,32,8
312.9262009,0.320838229,1.5Li2O-HfCl4,10.1038/s41467-023-39197-8,0.002961404,Halide-Oxide,2.4175,43.77125,1.3575,4,0.25,1.213007566,1.07904375,4,0.386740331,0.4,178.49,6.94,0,32,8
312.9267183,0.296677668,Li6.025P0.975Mo0.025S4.975O0.025Cl,10.1016/j.jallcom.2022.166596,0.005836238,Argyrodite,1.856065259,20.71451056,1.230191939,6,0.462571977,1.139362703,0.771355859,5,0.239130435,1.004166667,95.96,6.94,0,78.15,13.025
312.93288,0.087007167,Li0.5La0.5Ti0.99Al0.01O3,10.1016/j.ssi.2018.07.005,1.29E-06,Perovskite,2.58014,33.71722,1.14086,5,0.1,1.100100282,1.155955102,5,0.385714286,0.166666667,138.91,6.94,0,25,5
312.9367704,0.916745705,Li1.3Al0.3Ti1.7P3O11.98S0.02,10.1039/d0cp03442h,0.004251668,Garnet,2.852885246,20.96865574,1.110153005,6,0.071038251,1.057242892,0.816910658,5,0.239130435,0.108333333,47.87,6.94,0,109.8,18.3
312.9378613,0.601248742,Li2.75B0.625P0.125S0.25O3.375,10.1021/acs.jpcc.3c02842,1.23E-08,LISICON,2.315614035,12.87438596,1.05245614,5,0.385964912,1.123331737,1.055769,4,0.14673913,0.75862069,32.07,6.94,0,35.625,7.125
312.9384481,0.362885889,Li2.75Y0.16Er0.16Yb0.16In0.25Zr0.25Cl6,10.1038/s41467-024-45864-1,0.002270088,Halide,2.364039054,36.17371017,1.41373073,7,0.282631038,1.046059421,0.976063776,5,0.397790055,0.458333333,173.05,6.94,0,68.11,9.73
312.9385349,0.546512639,Li5.33La3Ta1.67Zr0.33O12,10.1016/j.jssc.2024.125154,8.31E-06,Garnet,2.362171966,43.79799821,1.130640394,5,0.238692342,1.201576585,1.35764566,5,0.457142857,0.444166667,180.95,6.94,0,111.65,22.33
312.9403476,0.595770957,(Li2OH)0.99K0.01Cl,10.1038/s41467-023-42385-1,1.30E-05,Halide,2.151348089,13.36420926,1.022313883,5,0.398390342,1.344550547,1.1505,3,0.20441989,0.994974874,39.1,1.008,0,24.85,4.97
312.9404807,0.302708328,Li6.2P0.9As0.1S4.85Se0.15Cl,10.2139/ssrn.5318825,0.004080398,Argyrodite,1.842462121,21.30515152,1.227045455,6,0.46969697,1.189262181,0.6493625,4,0.222222222,1.05982906,78.97,6.94,0,79.2,13.2
312.940684,0.765187308,Na3SO4H,10.1016/j.ssi.2024.116510,1.55E-06,Antiperovskite,2.37,18.44977778,1.207777778,4,0,1.214889654,1.208155556,2,0.201086957,0,32.07,1.008,0,36,9
312.9415672,0.391900861,Li3Sb0.5P0.5S4,10.1021/acsaem.3c02652,9.15E-07,Thio-LISICON,1.9225,28.183125,1.28,4,0.375,1.06095815,0.49751358,3,0.239130435,0.75,121.76,6.94,0,32,8
312.9446302,0.296947855,Li5.5PS4.325O0.175Cl1.5,10.1021/acsami.1c21561,0.008579749,Argyrodite,1.92644,21.10542,1.24304,5,0.44,1.24469864,0.845984889,4,0.239130435,0.916666667,35.45,6.94,0,62.5,12.5
312.9446944,0.30622892,Li3YBr6 ,10.1016/j.nanoen.2020.105097,0.000818965,Halide,2.192,58.913,1.494,3,0.3,0.897945725,0.889056,3,0.387755102,0.5,88.91,6.94,0,30,10
312.9449197,0.462756079,Li3Sb0.6P0.4S4,10.1021/acsaem.3c02652,7.62E-07,Thio-LISICON,1.92075,29.318,1.284,4,0.375,1.058441211,0.49751358,3,0.239130435,0.75,121.76,6.94,0,32,8
312.9451289,0.286152848,Li5.5PS4.5Br1.5,10.1016/j.ensm.2020.04.014,0.006292735,Argyrodite,1.8904,26.6644,1.2672,4,0.44,1.185515808,0.693978061,4,0.224489796,0.916666667,79.9,6.94,0,50,12.5
312.9470672,0.336434767, Li2ZnSiO4/LiAlCl4,10.1007/s10008-024-06180-2,8.50E-05,Halide-Oxide,2.464285714,24.79071429,1.2,6,0.214285714,1.611472204,1.00462449,6,0.220994475,0.375,65.38,6.94,0,84,14
312.9480397,0.363963071,Li1.2Ta2P0.8Si0.2O8,10.1021/acs.chemmater.1c01837,0.001960128,NASICON,2.772786885,43.32967213,1.133114754,5,0.098360656,1.047320367,0.997831122,5,0.285714286,0.15,180.95,6.94,0,61,12.2
312.9486075,0.407495311,Li2.7Zr0.3In0.7Cl6(low crystallinity),10.1002/advs.202305394,0.000383451,Halide,2.397010309,34.96680412,1.411134021,4,0.278350515,0.950324617,0.988041322,4,0.397790055,0.45,114.82,6.94,0,38.8,9.7
312.9486075,0.358951774,Li2.4Zr0.6In0.4Cl6(low crystallinity),10.1002/advs.202305394,0.000638896,Halide,2.42787234,35.10808511,1.429361702,4,0.255319149,0.945106485,0.988041322,4,0.397790055,0.4,114.82,6.94,0,37.6,9.4
312.9486075,0.386183202,Li3InCl6,10.1002/advs.202305394,0.000731566,Halide,2.368,34.834,1.394,3,0.3,0.897945725,0.988896,3,0.419889503,0.5,114.82,6.94,0,30,10
312.9486075,0.362657022,Li2.1Zr0.9In0.1Cl6(low crystallinity),10.1002/advs.202305394,0.001098308,Halide,2.460769231,35.25868132,1.448791209,4,0.230769231,0.891401637,0.988041322,4,0.397790055,0.35,114.82,6.94,0,36.4,9.1
312.9489203,0.261817003,Li5.6PS4.6Br1.4,10.1039/D4TA04835K,0.004484542,Argyrodite,1.88015873,26.12825397,1.262222222,4,0.444444444,1.1735053,0.693978061,4,0.224489796,0.933333333,79.9,6.94,0,50.4,12.6
312.9495494,0.341226638,Li6PS5Cl-0.07SnI4 ,10.1016/j.jallcom.2023.172334,0.006444279,Argyrodite,2.040555556,49.70666667,1.416666667,6,0.333333333,1.537987101,0.612249691,5,0.2,0.6,126.9,6.94,0,108,18
