compound,temperature,conductivity,log_cond,log_Ionic_Conductivity,Ionic_Conductivity,residue,ic_sqr,Predicted_log_IC,Predicted_IC_S_cm
Li6.5 La2.8Zr2.0Ga0.3Rb0.2O12,300,0.00116,-2.9355420107730814,-2.997479419,0.000329137,0.29929821,0.632410178,-2.846226495194434,0.0014248642982143409
Li6.6 La2.8Zr2.0Ga0.2Sr0.2O12,300,0.000346,-3.4609239012072233,-3.530661644,0.00022028,0.038455421,0.072824594,-3.5635397195922702,0.0002731871581649016
Li6.4 La2.85Zr2.0Ga0.3Rb0.15O12,300,0.00104,-2.9829666607012197,-3.178969438,0.000376858,0.194353651,0.559231108,-3.805158368331994,0.00015661798482080765
Li6.3 La2.9Zr2.0Ga0.3Rb0.1O12,300,0.00153,-2.815308569182401,-2.891451332,0.000417285,0.318387891,0.838095676,-2.701778868437985,0.001987106443223683
Li6.5 La2.9Zr2.0Ga0.2Sr0.1O12,300,0.00055,-3.2596373105057563,-3.193076355,0.000258138,0.107919416,0.221979414,-3.2944346782553624,0.0005076510885162825
Li6.66 La2.94Zr2.0Sr0.06O12,300,3.67e-05,-4.435333935747911,-4.637190865,0.000171012,0.446706125,0.496390296,-4.916328940698583,1.2124701607821392e-05
Li6.2 La2.95Zr2.0Ga0.3Rb0.05O12,300,0.00162,-2.7904849854573692,-3.033617613,0.000440737,0.319603883,0.88416266,-2.670976771065484,0.002133159005514272
Li7.05 La2.95Zr2.0Ca0.05O12,300,8.59e-06,-5.066006836168758,-5.302767651,0.000219325,1.979914574,1.782819422,-6.02060921471068,9.536538914612358e-07
Li7.02 La2.98Zr2.0Ca0.02O12,300,7.09e-06,-5.149353764816934,-5.534582945,0.000178767,1.964594845,2.012339541,-5.825089788647633,1.4959263473304224e-06
Li5.5 La3.0Zr2.0Ga0.5O12,300,5.81e-05,-4.235823867609669,-4.178816651,3.03e-05,0.080299939,0.255065041,-4.576924945899016,2.648957887858942e-05
Li5.8 La3.0Zr2.0Ga0.4O12,300,0.00057,-3.2441251443275085,-3.145535544,6.73e-05,0.860327667,0.236837061,-2.00690240952983,0.00984232248098313
Li5.95 La3.0Zr2.0Ga0.35O12,300,0.00071,-3.1487416512809245,-3.272339539,7.51e-05,0.951726126,0.338773557,-3.298043274082651,0.0005034504413499693
Li6.58 La3.0Zr1.96Al0.32O12,300,0.000245,-3.6108339156354674,-3.733122231,0.00017364,0.022354972,0.014388077,-3.7640506567547667,0.00017216677453853763
Li6.16 La3.0Zr2.0Al0.28O12,300,1.92e-05,-4.716698771296451,-4.421093209,0.000194163,1.009755954,0.972027493,-5.371971039596459,4.24647880133728e-06
Li6.23 La3.0Zr1.88Al0.26O12,300,0.00025,-3.6020599913279625,-3.468724366,0.000160796,0.036735329,0.016569928,-3.752442538864826,0.0001768306165348747
Li6.27 La3.0Zr1.96Al0.25O12,300,0.000448,-3.348721986001856,-3.432454339,0.000226956,0.087223555,0.145971554,-3.4155898628551418,0.00038406978043921186
Li6.15 La3.0Zr2.0Al0.25O12,300,0.000124,-3.906578314837765,-4.23921543,0.000163929,0.01469754,0.030903562,-4.067674043431212,8.557087178910122e-05
Li6.23 La3.0Zr2.0Ga0.2O12,300,0.00072,-3.1426675035687315,-3.462096463,0.000237009,0.232871366,0.345881277,-2.9954317571270046,0.0010105742846651287
Li6.91 La3.0Zr2.0Ga0.2O12,300,0.00043,-3.3665315444204134,-3.11472735,0.000199585,0.111116098,0.132680015,-3.436657774886397,0.0003658829947402775
Li6.79 La3.0Zr2.0Ga0.2O12,300,0.0008,-3.0969100130080562,-3.176271243,0.000204741,0.350328264,0.401796516,-3.0775612236642886,0.0008364476711600548
Li6.55 La3.0Zr2.0Ga0.2O12,300,0.00109,-2.962573502059376,-3.571105038,0.00023933,0.433529082,0.590147714,-2.6467276310659713,0.002255653407653827
Li6.28 La3.0Zr2.0Ga0.2O12,300,0.00074,-3.1307682802690238,-2.530429199,0.000281814,0.175786207,0.360019134,-3.1213303336401808,0.0007562574506640435
Li6.3 La3.0Zr2.0Ga0.2O12,300,0.00087,-3.0604807473813813,-2.692207804,0.000281814,0.239665264,0.449306752,-2.522286200822668,0.0030040959456915546
Li7.05 La3.0Zr1.98Al0.16O12,300,0.000221,-3.6556077263148894,-3.826031771,0.000153136,0.02538139,0.005651506,-4.430382289325094,3.712083277358184e-05
Li6.4 La3.0Zr2.0Ge0.15O12,300,8.05e-05,-4.094204119632131,-4.303094762,0.000228708,0.205649765,0.13207402,-3.606361129880297,0.00024753628574879883
Li7.42 La3.0Zr1.97Al0.14O12,300,0.000189,-3.7235381958267557,-3.808630432,0.000156229,0.00683923,5.25e-05,-3.9505188541253515,0.00011206787727975048
Li6.61 La3.0Zr2.0Al0.13O12,300,0.000135,-3.869666231504994,-3.719936398,0.000170112,0.010080314,0.019288212,-4.295637893990755,5.062465843094217e-05
Li6.91 La3.0Zr1.98Al0.13O12,300,0.000208,-3.6819366650372385,-3.64418456,0.000184262,0.002769546,0.002386084,-3.8590689920597403,0.00013833466029519395
Li6.7 La3.0Zr2.0Al0.1O12,300,0.000141,-3.85078088734462,-3.976658429,0.000201393,0.023970839,0.014399199,-4.311419960818578,4.8818006309124995e-05
